A1CF	MNT
FHL3	USP2
FHL5	PUF60
FHOD1	OR52N1
FIBP	ATXN3
FIGF	TRPV6
FIP1L1	DNAH11
FIS1	NOP2
FKBP10	RIT1
FKBP1A	ITGB4
FKBP1B	OR10J5
FKBP2	HLA-DQA1/DRA
FKBP3	EIF3E
FKBP4	ZNF423
FKBP5	COL5A3
FKBP8	LILRB1
FLG	ATP8A2
FLI1	WISP1
FLII	HSPA4L
FLNA	TAS2R43
FLNB	PKP3
FLNC	KRT17
FLOT1	RAG1
FLOT2	OR9Q1
FLT1	MAP4K4
FLT3	ABCF1
FLT3LG	DKFZP686L02273
FLT4	GATA2
FMN1	LTK
FMNL1	OR8K1
FMOD	DIP2A
FMR1	LEP
FN1	ISLR
FNBP1	DKFZP686O0215
FNTA	KCNC1
FNTB	ZNF175
FOLH1	GADD45B
FOLR1	SNAP23
FOS	SUPT16H
FOSB	IER3
FOSL1	ATP8A1
FOSL2	SEMA3F
FOXA1	BNIPL
FOXA2	DHPS
FOXA3	GMIP
FOXC1	PARP2
FOXD3	KIR2DS2
FOXE1	GADD45G
FOXF1	ACE2
FOXF2	FGR
FOXG1	ST13
FOXH1	CSRNP2
FOXJ3	MLPH
FOXK2	UBL4A
FOXM1	ARHGAP24
FOXO1	PCDHGA8
FOXO3	PTGS2
FOXO4	PPP1R3D
FOXP2	EIF2B5
FOXP3	CAPNS1
FPR1	ANAPC1
FPR2	PLCE1
FPR3	ATP5G1
FRAP1	IL1F10
FRAS1	ZNF124
FRAT1	KCNJ6
FRAT2	OR10G2
FREQ	EPB49
FRK	SERTAD1
FRS2	RPS18
FRS3	PXDN
FRY	GP6
FRYL	CYTH1
FRZB	AGGF1
FSCN1	OR52I1
FSHB	NR3C2
FSHR	POLR3B
FST	DCHS2
FSTL1	OR1E1
FSTL3	MCF2
FTH1	VPS29
FTHL17	SP100
FTL	CAPZB
FTMT	SCARB2
FTSJ1	MS4A2
FUBP1	BNC1
FUBP3	CENPH
FURIN	MCHR2
FUS	EAF2
FUSIP1	PROS1
FUT1	IKZF1
FUT4	DNAJB6
FXC1	CCNO
FXR1	GLE1
FXR2	GDF6
FXYD1	OTUD7B
FXYD2	ZNF615
FXYD3	SP2
FXYD7	BRAF
FYB	HRH3
FYN	FZD7
FZD1	GRM8
FZD10	HARS
FZD2	IGHV
FZD3	OXT
FZD4	OR1A2
FZD5	ZNF134
FZD6	APC
FZD7	HTR5A
FZD8	ZNF619
FZD9	RIOK3
FZR1	PAFAH1B1
G3BP1	PROX1
G3BP2	HSF2BP
G6PC	GDF1
G6PC2	RORB
GAB1	SKP2
GAB2	RTN4
GABARAP	SIPA1
GABARAPL2	TIAL1
GABBR1	RFXAP
GABBR2	MIB2
GABPA	RPN2
GABPB1	CPNE1
GABRA1	F11
GABRA2	NDEL1
GABRA3	SELE
GABRA4	GLIS3
GABRA5	RFXANK
GABRA6	CDSN
GABRB1	HBG1
GABRB2	ITGA7
GABRB3	RANBP3
GABRG1	PCDHA6
GABRG2	KIF7
GABRG3	CACNB3
GABRQ	OR4L1
GABRR1	RELB
GABRR2	HSPE1
GAD1	SCNN1G
GAD2	ZNF571
GADD45A	POMT1
GADD45B	EEF1A1
GADD45G	KIF2C
GAK	PNKP
GAL	CNOT3
GALNS	ZNF300
GALNT3	PHKG1
GALNT5	OR4D5
GALR1	MAF
GALR2	OR51M1
GALR3	RYR2
GAMT	ZNF76
GAN	SLC27A4
GANAB	NSUN5C
GAPDH	UBE2M
GAPDHS	ZNF558
GARNL1	DYNLL2
GARNL3	SURF2
GARS	AURKA
GAS1	SMR3B
GAS2	BCAS2
GAS6	MUC4
GAST	MINA
GATA1	CYP2J2
GATA2	CENPL
GATA3	RESDA1
GATA4	VTI1A
GATA6	AHSA1
GATAD2A	GEMIN6
GATAD2B	RPL17
GBA	AGFG1
GBE1	DIABLO
GBF1	MYH1
GBP1	PAWR
GBP2	CD160
GBX2	GLB1
GC	ZNF294
GCA	RASA1
GCC1	CBLB
GCC2	MYBBP1A
GCDH	GTF2H4
GCG	NME2P1
GCH1	CNOT1
GCHFR	VDR
GCK	PDGFC
GCKR	OR51B2
GCLC	FAM13B1
GCLM	CAV2
GCM1	DEDD
GCM2	CCNE1
GCN5L2	OR52A1
GCS1	EIF4E2
GDA	DHX40
GDF10	CYP3A5
GDF11	GZMA
GDF15	VIL1
GDF2	ANXA3
GDF3	ZNF195
GDF5	RFC3
GDF6	CD33
GDF7	ASAH1
GDF9	IFNA5
GDI1	UPF1
GDI2	ZNF658
GDNF	UGT1A10
GEM	IGF2
GEMIN4	HCLS1
GEMIN5	GNG12
GEMIN6	DDX20
GEMIN7	MTX1
GFAP	UGT1A4
GFER	FADS2
GFI1	PECAM1
GFI1B	CCL11
GFRA1	KRT19
GFRA2	MYO1B
GFRA3	CHRM3
GGA1	SUCLA2
GGA2	COL4A3BP
GGA3	WDR48
GGCX	CTSS
GGNBP2	MAT2A
GGT1	IKZF3
GGT2	GRID
GH1	RGS12
GH2	BCL2L2
GHR	PDE4B
GHRH	BTLA
GHRHR	AMFR
GHSR	ZFP14
GIF	RPS4Y1
GIGYF1	PSMA3
GIMAP5	IKZF2
GINS1	DGUOK
GINS2	ZFYVE9
GINS4	SLC25A17
GIPC1	MAPKAPK5
GIT1	CDK3
GIT2	PEX14
GJA1	AMPH
GJA3	CUX1
GJA5	AARS
GJA8	ZNF799
GJB1	BCAN
GJC1	GNG10
GJD2	FFAR3
GK	HIATL1
GK2	CUBN
GK3P	ANP32C
GLB1	SSBP1
GLG1	CACNA1B
GLI1	CAV1
GLI2	SMAD1
GLI3	MINK1
GLIS1	ARL6IP5
GLIS3	OR52I2
GLMN	HSP90AB3P
GLP1R	SASS6
GLP2R	LTBP3
GLRB	FUT4
GLRX	HDAC5
GLRX2	COPS5
GLRX3	ZNF605
GLS2	CDKN3
GLUD1	SFRP5
GLUD2	BMP8A
GLYAT	RNPEPL1
GM2A	MTMR8
GMDS	MALT1
GMEB1	ZNF271
GMEB2	OR4C46
GMFB	NEDD4
GMFG	BNIP3
GMIP	CLDN11
GML	PTBP2
GMNN	RFWD2
GMPPA	DDR2
GMPPB	ATE1
GMPS	NOSIP
GNA11	NCF2
GNA12	HLA-C
GNA13	MITF
GNA14	NTF3
GNA15	SLC40A1
GNAI1	TAS2R14
GNAI2	MAPK3
GNAI3	DMC1
GNAL	RHPN2
GNAO1	TNFRSF10D
GNAQ	KLF13
GNAS	GPN1
GNAT1	TNRC4
GNAT2	ARPC1A
GNAT3	CD40LG
GNAZ	ZNF439
GNB1	MYBPC1
GNB2	UNC5C
GNB2L1	TERT
GNB3	IHH
GNB4	TJP2
GNB5	ZNF263
GNG11	ISG20
GNG12	PIAS4
GNG13	ZNF566
GNG3	CTDSP1
GNG4	PTPRH
GNG5	ABCC1
GNG7	ACTN1
GNGT1	DCT
GNGT2	EEF1B2
GNL1	KCNG1
GNL3	PCOLCE
GNLY	LIFR
GNPAT	MRPL11
GNRH1	OR4A4P
GNRH2	OR7C1
GNRHR	DNMT1
GOLGA1	VCP
GOLGA3	NANOS1
GOLGA4	C1S
GOLGA8B	NRG3
GOLPH3	KATNA1
GOPC	SETD7
GORASP1	CHKB
GORASP2	NUDT21
GOSR1	OR4F3
GOSR2	INVS
GOT1	ZNF648
GOT2	ZNF786
GP1BA	CAPN2
GP1BB	C9
GP5	ZNF674
GP6	AP3B1
GPAA1	TAF1L
GPBP1L1	IRF3
GPC1	SH2D2A
GPC2	NOLC1
GPC3	RNASE3
GPD1	SLC25A12
GPD1L	EPHB3
GPD2	LRRC41
GPER	ENG
GPHN	MME
GPI	DNA2
GPLD1	CCL24
GPM6B	DCC
GPN1	OPN1MW
GPNMB	PFN4
GPR1	SLC5A5
GPR109B	ATF3
GPR124	CPT2
GPR143	PON1
GPR161	SPIB
GPR17	ROPN1B
GPR18	IGFBP5
GPR19	NFYC
GPR25	CD8A
GPR26	PRCP
GPR3	NDC80
GPR31	MAL
GPR35	SMG1
GPR37	TICAM2
GPR37L1	STAG1
GPR4	GRAP
GPR45	PQBP1
GPR50	ZNF211
GPR63	PFN3
GPR65	POLR2D
GPR68	RYR1
GPR77	TAL1
GPRIN2	DNAH5
GPS2	YKT6
GPSM1	TXNRD3
GPSM2	AOF2
GPSM3	CAB39L
GPX1	ANGPTL3
GPX2	JARID1B
GPX4	FLJ00153
GPX5	TRAP1
GRAP	CHIT1
GRAP2	PIK3C2G
GRASP	CD84
GRB10	GYG2
GRB14	ZNF267
GRB2	UBE4B
GRB7	HSD11B1
GREM1	IMPDH1
GREM2	ZNF705F
GRHL1	GRP94C
GRHL2	MAT2B
GRHL3	JPH1
GRHPR	KLF5
GRIA1	OR6N2
GRIA2	CENPF
GRIA3	HUWE1
GRIA4	FARSA
GRID2	IGM
GRIK1	BMP15
GRIK2	MYLK4
GRIK3	SEC23A
GRIK4	CFL1
GRIK5	DKFZP434N071
GRIN1	CNN3
GRIN2A	ZNF121
GRIN2B	SYK
GRIN2C	PAX2
GRIN2D	ENOX1
GRIN3A	OAS1
GRIN3B	DNAJA4
GRIP1	FEN1
GRK4	TRIM37
GRK5	IKBKAP
GRK6	EN2
GRLF1	TUBB4
GRM1	SCAMP3
GRM2	FZD4
GRM3	TCEB2
GRM4	RAB9A
GRM5	POLR2B
GRM6	SEC11C
GRM7	TAX1BP1
GRM8	DERL1
GRN	KRT35
GRP	OR8K3
GRPR	ACTG1
GRSF1	KIAA1875
GRWD1	DAPK3
GSC	SYT5
GSC2	POU4F2
GSK3A	CHD2
GSK3B	AMELY
GSN	EXOSC4
GSPT1	ETV5
GSPT2	GPX5
GSR	PLK2
GSTA1	HSPB11
GSTA3	ZNF426
GSTM1	GRHPR
GSTM2	RNF4
GSTM3	ZNF311
GSTM4	OPRK1
GSTM5	CSF3
GSTO1	GNG11
GSTP1	XRCC2
GSX2	FOLR1
GTF2A1	GMNN
GTF2A2	PTP4A3
GTF2B	CTLA4
GTF2E1	DBI
GTF2E2	ODC1
GTF2F1	FPR2
GTF2F2	ERO1L
GTF2H1	MAPKAP1
GTF2H2	ACADL
GTF2H3	HIST1H2BJ
GTF2H4	CORO1C
GTF2H5	TEC
GTF2I	ZNF251
GTF2IRD1	LILRB4
GTF3A	IGFBP2
GTF3C1	ADAM12
GTF3C2	CDC25C
GTF3C3	FCGR3A
GTF3C4	ZNF33A
GTF3C5	OR8U8
GTPBP4	SLC9A3R1
GTSE1	KDELR3
GUCA1A	DEPDC1B
GUCA1B	TAGLN
GUCA1C	SLA2
GUCA2A	GCG
GUCA2B	RTN4RL1
GUCY1A2	GHRHR
GUCY1A3	RFC4
GUCY1B3	MAPT
GUCY2C	ZNF559
GUCY2D	ZNF596
GUCY2F	MYST1
GULP1	SLC25A5
GUSB	ACSS2
GUSBP1	PRX
GYG1	MUS81
GYG2	ZNF578
GYPA	FGL1
GYPB	GFRA3
GYPC	CYSLTR2
GYS1	DPAGT1
GYS2	DDIT4
GZMA	DHX15
GZMB	ELA1
GZMH	ABCA2
GZMK	ZNF43
GZMM	SAV1
H1F0	GAPDHS
H1FX	PNLIP
H2AFJ	NSFL1C
H2AFV	OR3A1
H2AFX	ZNF655
H2AFY	MELK
H2AFZ	NOXO1
H3F3A	CENPP
HABP2	ACSL3
HABP4	GPR68
HACE1	IL23R
HADHA	UGT2B7
HADHB	ZXDA
HAMP	GPR37
HAND1	PDZK1
HAP1	NPHS1
HAPLN1	ZFP36L2
HARS	NSD1
HARS2	LBP
HAT1	GOPC
HAX1	API5
HBB	ZNF841
HBD	CNDP2
HBE1	BCHE
HBEGF	OR2G6
HBG1	ATRX
HBP1	DYNC1I1
HBS1L	POLA1
HBZ	DDX46
HCFC1	HSPD1
HCFC2	RANP1
HCK	OBSCN
HCLS1	CCR4
HCN1	SPINT1
HCN2	UTS2R
HCN3	CEP78
HCN4	WNT10B
HCRT	KCNK13
HCRTR1	DMAP1
HCRTR2	RPS4X
HDAC1	OR52K1
HDAC11	ELF3
HDAC2	ZNF567
HDAC3	DMD
HDAC4	MLLT1
HDAC5	BTAF1
HDAC6	YWHAE
HDAC7	ELL
HDAC9	WNT16
HDGF	LSM6
HELLS	PLCL1
HERC3	FAAP24
HERPUD1	HNRNPK
HES1	ZNF117
HES5	MYO7A
HESX1	ZNF213
HEXA	PYCARD
HEXB	MYO6
HEXIM1	GEM
HEY1	MLLT6
HEY2	FXYD1
HEYL	TOB2
HFE	NFE2
HGF	ZBTB1
HGFAC	LIMD2
HGS	ZNF773
HHAT	HAND2
HHEX	PLK1
HHIP	DSPP
HIC1	NEFH
HIC2	SSBP4
HIF1A	DEFB1
HIF1AN	UBE2B
HIF3A	IL3
HIGD1A	CAND2
HIP1	WNT7A
HIP1R	SAA1
HIPK1	ASGR2
HIPK2	CD19
HIPK3	RPS27
HIPK4	CHD4
HIRA	FCAR
HIRIP3	GABBR1
HIST1H1A	CDX4
HIST1H1B	POLI
HIST1H1D	LPP
HIST1H1E	KCNH8
HIST1H1T	ZNF510
HIST1H2AB	RPS15
HIST1H2AC	DHX33
HIST1H2AG	PDCD10
HIST1H2BC	OR9I1
HIST1H2BD	NEDD1
HIST1H2BJ	ANKRD6
HIST1H2BK	SLC30A3
HIST1H2BL	CDC2L2
HIST1H2BM	TBX3
HIST1H2BN	KIFAP3
HIST1H3A	ZNF335
HIST1H4A	MAP3K8
HIST2H2BE	SEC24C
HIST3H2A	RPS27A
HIST3H3	SURF1
HIVEP1	ITPKB
HIVEP2	HMGB1
HK1	RHOQ
HK2	BZW1
HK3	GNAT2
HKDC1	DNMBP
HKR1	RBM41
HLA-A	IL12A
HLA-B	H2BFS
HLA-C	PIGC
HLA-DMA	ONECUT1
HLA-DMB	ARG2
HLA-DOA	AGRP
HLA-DOB	NDUFA12
HLA-DPA1	FGF12
HLA-DPB1	CCNB2
HLA-DQA1	SIGLEC10
HLA-DQA1/DRA	ROBO2
HLA-DQA2	TANK
HLA-DQB1	WARS
HLA-DRA	OR2T6
HLA-DRB1	ZNF202
HLA-DRB5	IL1R2
HLA-E	LYZ
HLA-F	RGS2
HLA-G	TAS2R3
HLF	TIMP4
HLTF	ZNF266
HLX	POLR3D
HMBS	SFMBT1
HMG20A	RAB5B
HMG20B	ADARB1
HMGA1	SOCS3
HMGA2	PRKY
HMGB1	SSSCA1
HMGB2	SYNM
HMGCR	PARVB
HMGCS1	FTL
HMGCS2	PCDHGA10
HMGN1	MAP4K5
HMGN2	CENPQ
HMGN4	NKX2-3
HMHA1	PDIA2
HMMR	KCNK7
HMOX1	VPS4B
HMOX2	SLC6A9
HNF1A	RALYL
HNF1B	SLCO1A2
HNF4A	FGD1
HNF4G	IFNA1
HNRNPA0	MPP3
HNRNPA1	SLC2A4
HNRNPA2B1	ACY1
HNRNPC	DDX39
HNRNPF	ABHD5
HNRNPH3	DCTN2
HNRNPL	ARIH1
HNRNPR	IL7R
HNRNPU	ADORA1
HNRPDL	CYP4A11
HNRPLL	DNAJB9
HOMER1	FBLN1
HOMER3	TOP1MT
HOMEZ	INHBC
HOOK2	RPL4
HOPX	RARB
HOXA1	KALRN
HOXA10	IGLV
HOXA11	CUL2
HOXA13	GFI1B
HOXA2	UBE2NL
HOXA3	SCG3
HOXA4	DNMT3B
HOXA5	TPSAB1
HOXA7	ATG12
HOXA9	F10
HOXB1	ZNF667
HOXB13	TNFRSF19
HOXB2	ANAPC2
HOXB3	16-5-5
HOXB5	RAP1B
HOXB6	KIR3DS1
HOXB7	PTGFRN
HOXB8	TIMM23
HOXB9	HMGCS2
HOXC10	DTX3
HOXC11	BRSK1
HOXC13	HNRNPC
HOXC4	FGFR1
HOXC5	FAM13A1
HOXC6	AGXT
HOXC8	PCAF
HOXD10	UGT8
HOXD11	HMBS
HOXD12	DHH
HOXD13	MAPK10
HOXD3	GATA5
HOXD4	ULK1
HOXD8	SMAD4
HOXD9	HGF
HP	GCS1
HP1BP3	CYP24A1
HPGD	DKK4
HPN	AKAP11
HPR	MAPK1
HPRT1	KPNA6
HPS1	CLK3
HPS3	OR7G3
HPS4	ZNF260
HPS5	HIF3A
HPS6	SOX7
HPSE	ALPI
HR	NAPA
HRAS	TIMM17A
HRC	HKE1.5
HRG	NP
HRH1	OR51I1
HRH2	FGF11
HRH3	DAAM1
HRH4	COL6A2
HRK	TRAF3IP2
HS2ST1	CDC42EP3
HSBP1	COMP
HSD11B1	GDF2
HSD11B2	GAN
HSD17B1	IGFALS
HSD17B10	HOXD12
HSD17B2	RABIF
HSD17B4	CHMP1B
HSF1	KATNB1
HSF2	RENBP
HSF2BP	RIPK2
HSF4	CA1
HSP90AA1	TACC1
HSP90AB1	GSC2
HSP90AB3P	TXNRD2
HSP90B1	ZFAND6
HSPA14	UPF3A
HSPA1A	PRLH
HSPA1L	OR5H6
HSPA2	SLC4A1
HSPA4	TBL1XR1
HSPA4L	ALDOA
HSPA5	KCNH2
HSPA6	ARL2
HSPA7	LNPEP
HSPA8	SIM2
HSPA9	TBX18
HSPB1	LUM
HSPB2	LGALS3BP
HSPB3	MXD1
HSPB6	RAPGEF5
HSPB7	IFNE1
HSPB8	KIF5A
HSPBP1	ZNF552
HSPD1	DTNB
HSPE1	SCNN1A
HSPG2	IGF2R
HSPH1	DGKA
HTATSF1	THBS2
HTR1A	KIF3C
HTR1B	CUL7
HTR1D	ZNF287
HTR1E	PAX6
HTR1F	NLRP2
HTR2A	ANGPTL4
HTR2B	BAT1
HTR2C	IL17RA
HTR3B	LAMA3
HTR4	PSMC3
HTR5A	SCAND1
HTR6	AIFM1
HTR7	BIN2
HTRA1	MLXIPL
HTRA2	PZP
HUS1	CIAO1
HUWE1	CDIPT
HYAL2	PLOD3
HYOU1	C1QTNF5
IAPP	DLG2
IARS	NR2F1
IARS2	DAPK1
IBSP	NDN
IBTK	KCNAB2
ICAM1	ATP5D
ICAM2	MYL1
ICAM3	MTMR9
ICAM4	RPGR
ICAM5	NUP50
ICK	TRO
ICMT	POLR2C
ICOS	INHBE
ICOSLG	OR51F1
ID1	ZNF16
ID2	DKFZP564A2282
ID3	GGT1
ID4	EEF1G
IDE	MYOCD
IDH1	TRIP10
IDH2	RPL23
IDH3A	OSMR
IDH3B	OR6C74
IDH3G	SUPT4H1
IER3	WIF1
IFI16	CTNNAL1
IFI27	REN
IFI35	PTCRA
IFIT1	TCN2
IFIT2	NAIP
IFIT3	ARL5A
IFITM1	SH2B3
IFITM2	EAF1
IFITM3	CTCFL
IFNA1	ZNF84
IFNA10	SLC17A7
IFNA14	ZNFX1
IFNA16	KLF16
IFNA17	SPAG4
IFNA2	MT1H
IFNA21	PXMP3
IFNA4	TTBK1
IFNA5	TP63
IFNA6	HK2
IFNA7	GNRH1
IFNA8	HUS1
IFNAR1	TBX19
IFNAR2	LIF
IFNB1	OR6A2
IFNE1	MBD3L2
IFNG	GUCA2B
IFNGR1	SRR
IFNGR2	CSNK1A1
IFNK	TSN
IFNW1	SOX5
IFT172	GRIN2C
IFT57	BUB1B
IFT88	MRPS7
IGBP1	POU5F1
IGF1	ALDOB
IGF1R	FGF16
IGF2	TRADD
IGF2BP1	GPAA1
IGF2BP2	CSE1L-2
IGF2BP3	BRAP
IGF2R	P2RY11
IGFALS	TYRP1
IGFBP1	ZNF275
IGFBP2	QRFP
IGFBP3	CIRBP
IGFBP4	OR8D1
IGFBP5	DBF4
IGFBP6	OR10Q1
IGFBP7	SENP8
IGHE	ZNF735
IGHG1	UPK1B
IGHM	CACNG4
IGJ	GPNMB
IGKC	CCNT2
IGKV1-5	CDKN1B
IGLL1	GRIK2
IGLV2-14	RPL26L1
IGLV3-25	REV1
IGSF1	PPP2R1B
IGSF5	FGD2
IGSF8	CLK1
IHH	SLIT2
IK	BIK
IKBKAP	MFRP
IKBKB	GRIA2
IKBKE	SQSTM1
IKBKG	SYTL2
IKZF1	RFNG
IKZF2	NR2E1
IKZF3	ITGAX
IKZF4	PRKAA2
IKZF5	APLF
IL10	TIRAP
IL10RA	CD2AP
IL10RB	IL20RA
IL11	GJA3
IL11RA	DKFZP586M0622
IL12A	GABPB1
IL12B	SPG20
IL12RB1	COL4A2
IL12RB2	ZNF570
IL13	TUFM
IL13RA1	MT-CYB
IL13RA2	RXFP2
IL15	CTRB1
IL15RA	SENP2
IL16	NAT1
IL17A	RGS17
IL17B	EIF3B
IL17RA	DLGAP1
IL17RB	ZNF230
IL18	SCN4A
IL18R1	CCR7
IL18RAP	PEX12
IL19	PCDHA2
IL1A	LTB4R
IL1B	MYH9
IL1F7	PTH2R
IL1R1	HSIL5R2
IL1R2	TLL1
IL1RAP	NUP153
IL1RL1	EPS15
IL1RL2	MEIS1
IL1RN	ZNF557
IL2	EXOC4
IL20	FGF10
IL20RA	ZNF136
IL21	CYP2C18
IL21R	OR5A2
IL22	MYOM1
IL22RA1	MCTS1
IL23A	CABIN1
IL23R	FZD10
IL24	PPP1R12A
IL25	CARHSP1
IL27RA	ANAPC4
IL28B	IFNA21
IL2RA	CAPN6
IL2RB	SLC9A3
IL2RG	TFDP1
IL3	UGT2B17
IL31RA	ZNF860
IL32	LSM7
IL3RA	UBE2S
IL4	SH3GL3
IL4R	NAPB
IL5	LLGL1
IL5RA	PPP1R12B
IL6	CCNA2
IL6R	LSM8
IL6ST	BCL2L1
IL7	ITPR2
IL7R	SP3
IL8	JDP2
IL8RA	MAP1B
IL8RB	PREX1
IL9	UFC1
ILF2	SEMA6D
ILF3	QKI
ILK	TOPBP1
ILVBL	OBP2A
IMMT	TSTA3
IMP3	INHBA
IMP4	PLCH1
IMPA1	SEC13
IMPA2	ATP2B2
IMPDH1	AP1S3
IMPDH2	SEPT10
INA	EHMT2
INADL	GMEB2
INCENP	SLC25A11
ING1	EPO
ING2	NCKIPSD
ING3	BRD8
ING4	KCNH1
INHA	ACCN2
INHBA	DDX50
INHBB	PSMB2
INHBC	UBE2D3
INHBE	VHL
INPP1	FXYD2
INPP4A	DNAJC5
INPP4B	SNRNP25
INPP5B	STXBP3
INPP5D	DLK1
INPP5E	RAC3
INPPL1	ZNF23
INS	GPC2
INSIG1	CHKA
INSL3	GNA12
INSM1	AATK
INSR	PRDX2
INSRR	MYO1F
INVS	PPP1R13B
IPO13	OR10G4
IPO4	THRAP3
IPO5	SLCO1B1
IPO8	P2RX6
IPO9	NRF1
IQGAP1	KIAA1627
IQGAP2	NMUR2
IQGAP3	SYMPK
IQSEC1	CDON
IQSEC2	PIGX
IRAK1	STK4
IRAK2	TAF1C
IRAK3	OAS3
IRAK4	APRT
IREB2	MEF2D
IRF1	HREV3
IRF2	GZMH
IRF3	KLF10
IRF4	TNFSF11
IRF5	ZNF321
IRF6	ZNF542
IRF7	DPM1
IRF8	CANX
IRF9	BCLAF1
IRS1	PIGA
IRS2	NXF2
IRS4	TTRAP
IRX1	SEC16A
IRX4	ANXA4
IRX5	OR2L8
ISG15	OR14A16
ISG20	ADH1A
ISL1	DHX8
ISLR	OR9G1
ITCH	OR14C36
ITGA1	STX7
ITGA10	SHANK1
ITGA11	POLR1C
ITGA2	PIGU
ITGA2B	CPD
ITGA3	SNAPC4
ITGA4	CDC42BPB
ITGA5	MAN1A2
ITGA6	CLCA1
ITGA7	TESK2
ITGA8	CNTN3
ITGA9	CENPN
ITGAD	CENPJ
ITGAE	SLC25A6
ITGAL	ANXA5
ITGAM	ARID1B
ITGAV	DOK4
ITGAX	ZNF226
ITGB1	CYTH4
ITGB1BP1	ZNF473
ITGB2	DKFZP686D09174
ITGB3	PTPRN2
ITGB3BP	MCM8
ITGB4	IGLV5-37
ITGB5	SLC12A3
ITGB6	NPY1R
ITGB7	MT-CO3
ITGB8	CSNK1G1
ITGBL1	RAB8B
ITIH1	CCNC
ITIH2	ARHGEF15
ITIH3	DUSP2
ITIH4	DHFRL1
ITK	SNAI2
ITPK1	PARVG
ITPKA	CTPS
ITPKB	WNT3A
ITPR1	OR4S2
ITPR2	SMTN
ITPR3	RAPGEF4
ITSN1	STRA13
ITSN2	KLKB1
IVD	GSK3B
IVL	ALG1
IVNS1ABP	DYNLT1
JAG1	HSPB6
JAG2	LOC401308
JAK1	GPBP1L1
JAK2	PIP5K1A
JAK3	MEOX1
JAM2	ZNF569
JAM3	KLK3
JARID1A	PCDH7
JARID1B	RELN
JARID1C	IVNS1ABP
JARID1D	NDRG1
JARID2	KIAA0907
JAZF1	NRCAM
JDP2	HLTF
JMJD1A	MUC20
JMJD1B	TLR6
JMJD1C	CEP164
JMJD2A	GPM6B
JMJD2B	AIFM2
JMJD2C	PPM1B
JMJD6	PGC
JMY	FZD8
JPH1	MCM10
JPH2	EIF2S1
JTV1	IL2RB
JUN	PROZ
JUNB	TAS2R42
JUND	PKP1
JUP	CNKSR1
KAL1	NRP2
KALRN	HMGN2
KARS	OR51B5
KATNA1	RDH5
KATNB1	AKT1S1
KCNA1	TSEN15
KCNA10	UCN
KCNA2	MED25
KCNA3	ASCL4
KCNA4	NFATC2IP
KCNA5	ODZ1
KCNA6	KCNG3
KCNA7	UBE2E2
KCNAB1	OR2T33
KCNAB2	TGFB2
KCNAB3	TUBB8
KCNB1	FGFR3
KCNB2	SULT1A2
KCNC1	EHD3
KCNC2	TNR
KCND1	GUSB
KCND2	BRE
KCND3	LAT2
KCNE1	DLG4
KCNE2	M18BP1
KCNE4	SH2D1A
KCNF1	GP9
KCNG1	BCL9
KCNG2	ZBTB16
KCNG4	OSBPL1A
KCNH1	MMP14
KCNH2	FEM1B
KCNH3	EIF4G2
KCNH4	ADFP
KCNH5	EWSR1
KCNH6	GPD2
KCNH7	OR2B8P
KCNH8	BAK
KCNIP1	TRPC4AP
KCNIP2	SDC3
KCNIP3	RUNX1T1
KCNJ10	ZNF770
KCNJ12	ARSF
KCNJ15	TUBB2C
KCNJ16	PYGB
KCNJ2	KIAA1683
KCNJ3	COX7B
KCNJ4	PIWIL4
KCNJ5	PLEKHB1
KCNJ6	MAP3K5
KCNJ8	SDCBP2
KCNJ9	KREMEN2
KCNK12	PPP1CC
KCNK13	GHR
KCNK15	ZRANB1
KCNK5	XRN1
KCNK7	RPRM
KCNK9	PMS2L2
KCNMA1	NFE2L2
KCNMB1	KCNN4
KCNN1	PAX9
KCNN2	BRMS1
KCNN3	ARF6
KCNN4	ZSCAN18
KCNQ1	RB1
KCNQ2	HPS4
KCNQ3	OR13D1
KCNQ4	IL18R1
KCNQ5	HIST1H1B
KCNS3	HTATIP
KCNV1	TOMM22
KCNV2	ZNF167
KCTD13	ZNF709
KCTD17	OR2M3
KCTD5	TNNI3
KDELR1	CCT6A
KDELR2	RNASE1
KDELR3	KIF13B
KDR	CYP2A13
KEAP1	PPP2R2A
KHDRBS1	USP11
KHDRBS2	LMO2
KHDRBS3	OR4C12
KHSRP	ACACA
KIAA0146	DKFZP686O088
KIAA0391	ZNF239
KIAA0528	WHRN
KIAA0776	CTPS2
KIAA0841	DHX35
KIAA0907	COL8A2
KIAA1033	RGS18
KIAA1109	MVP
KIAA1967	RPS20
KIF11	PLXNA2
KIF13A	NEUROG2
KIF13B	PCDHGC3
KIF14	TAS2R45
KIF15	GAB2
KIF17	SHC3
KIF18A	UGT1A6
KIF1B	SF4
KIF1C	PDX1
KIF20A	TFR2
KIF21A	OR4K17
KIF21B	LITAF
KIF23	PEX10
KIF27	MAPK15
KIF2A	GUCY2F
KIF2B	ZNF73
KIF2C	HIP1
KIF3A	OR52J3
KIF3B	POLR2J
KIF3C	HLA-B
KIF4A	MXRA5
KIF4B	HBG2
KIF5A	FMN2
KIF5B	GBE1
KIF5C	HTR2C
KIF7	SUV39H2
KIFAP3	RNASE4
KIFC1	NACAP1
KIFC3	AKAP8L
KIN	CREB3
KIR2DL1	PCSK2
KIR2DL2	TLN1
KIR2DL3	COL12A1
KIR2DL4	CENPT
